Trace ID,Amplitude Range,Start time,End time,Similarity,Network,Station,Mode,Component,Azimuth,Incidence,Ellipticity
XA_S15_01_MHZ,109.0,1976-06-15 14:05:00.679245,1976-06-15 14:05:30.867924,0.93,XA,15,flat mode,MHZ,102.62844259562303,79.92579384562477,0.08080809214286575
XA_S15_01_MHZ,14.0,1976-06-18 09:41:31.471698,1976-06-18 09:42:01.660377,0.9,XA,15,flat mode,MHZ,103.96728287934191,89.36654540792608,0.29303626748492206
XA_S15_01_MHZ,9.0,1976-06-19 01:31:50.037736,1976-06-19 01:32:20.226415,0.91,XA,15,flat mode,MHZ,49.322389852039805,89.68645124300383,0.2088520011362742
XA_S15_01_MHZ,16.0,1976-06-19 18:46:45.283019,1976-06-19 18:47:15.471698,0.91,XA,15,flat mode,MHZ,50.36133798598732,89.53593917478685,0.31661379020299346
XA_S15_01_MHZ,98.0,1976-07-15 14:55:10.943396,1976-07-15 14:55:41.132075,0.93,XA,15,flat mode,MHZ,71.7414179849782,76.5256949922344,0.3736952598730513
XA_S15_01_MHZ,10.0,1976-07-17 20:06:23.849057,1976-07-17 20:06:54.037736,0.9,XA,15,flat mode,MHZ,62.27838761674286,89.61235234979068,0.2720168803731746
XA_S15_01_MHZ,9.0,1976-07-18 11:56:48.301887,1976-07-18 11:57:18.490566,0.9,XA,15,flat mode,MHZ,50.30932743355578,89.71568374629938,0.16349063535376118
XA_S15_01_MHZ,75.0,1976-08-03 14:34:58.113208,1976-08-03 14:35:18.188680,0.94,XA,15,flat mode,MHZ,138.7038747309299,87.65906627584184,0.13625988176098697
XA_S15_01_MHZ,11.0,1976-08-16 23:24:02.415094,1976-08-16 23:24:32.603773,0.92,XA,15,flat mode,MHZ,86.06479189904242,89.6139234171893,0.4911267664866943
XA_S15_01_MHZ,12.0,1976-09-15 13:20:33.207547,1976-09-15 13:21:03.396226,0.9,XA,15,flat mode,MHZ,52.640831861162546,89.57569490585551,0.22282601973544439
XA_S15_01_MHZ,1.0,1976-09-17 09:34:33.962264,1976-09-17 09:35:04.150943,0.91,XA,15,flat mode,MHZ,40.78734545413236,86.11712587786714,0.08265353064074747
XA_S15_01_MHZ,8.0,1976-10-03 21:07:45.358491,1976-10-03 21:08:15.547170,0.91,XA,15,flat mode,MHZ,45.05552612948011,89.66966431496387,0.13180590127321218
XA_S15_01_MHZ,11.0,1976-10-14 06:16:00.000000,1976-10-14 06:16:30.188679,0.91,XA,15,flat mode,MHZ,172.62522298103326,89.5725836952223,0.2465013663095798
XA_S15_01_MHZ,194.0,1976-11-10 16:15:01.433962,1976-11-10 16:15:31.622641,0.94,XA,15,flat mode,MHZ,80.52892675005333,66.60761542506556,0.10607286623499604
XA_S15_01_MHZ,16.0,1976-11-12 22:53:08.528302,1976-11-12 22:53:38.716981,0.9,XA,15,flat mode,MHZ,50.777170498259174,89.54411979788209,0.372416855671607
XA_S15_01_MHZ,1.18,1976-12-06 00:52:59.471698,1976-12-06 00:53:29.660377,0.92,XA,15,flat mode,MHZ,152.63113008755766,55.4600832796317,0.7931674843326667
XA_S15_01_MHZ,159.0,1976-12-09 15:11:11.396226,1976-12-09 15:11:41.584905,0.93,XA,15,flat mode,MHZ,73.7319869756983,74.95363606876377,0.061403812183987376
XA_S15_01_MHZ,163.0,1976-12-10 15:30:36.528302,1976-12-10 15:31:06.716981,0.94,XA,15,flat mode,MHZ,157.66363434093972,84.42534218599883,0.4028909412294317
XA_S15_01_MHZ,122.0,1976-12-12 16:09:13.207547,1976-12-12 16:09:43.396226,0.94,XA,15,flat mode,MHZ,40.37560146749365,10.531589591878959,0.05528881716234593
XA_S15_01_MHZ,16.0,1976-12-13 21:46:13.433962,1976-12-13 21:46:43.622641,0.91,XA,15,flat mode,MHZ,37.69372196921553,89.691357482962,0.5598598855869447
XA_S15_01_MHZ,1.0,1976-12-23 07:24:56.905660,1976-12-23 07:25:27.094339,0.92,XA,15,flat mode,MHZ,109.04704636155935,70.30282959000914,0.7368669075653153
XA_S15_01_MHZ,248.0,1977-01-08 14:54:00.301887,1977-01-08 14:54:20.377359,0.94,XA,15,flat mode,MHZ,98.72577687757249,79.21782916293779,0.09157236839273203
XA_S15_01_MHZ,244.0,1977-01-09 14:59:00.226415,1977-01-09 14:59:30.415094,0.93,XA,15,flat mode,MHZ,170.10926642512484,77.2316123221358,0.4194293348315523
XA_S15_01_MHZ,125.0,1977-01-24 05:28:45.584906,1977-01-24 05:29:15.773585,0.93,XA,15,flat mode,MHZ,44.37694584740833,9.604465127020628,0.024860778842700427
XA_S15_01_MHZ,125.0,1977-01-28 15:17:01.886792,1977-01-28 15:17:32.075471,0.94,XA,15,flat mode,MHZ,3.680181138516643,49.68344145408195,0.8994669381610163
XA_S15_01_MHZ,176.0,1977-02-06 14:49:35.698113,1977-02-06 14:50:05.886792,0.94,XA,15,flat mode,MHZ,73.06449844020622,75.79586425781287,0.08497512530073734
XA_S15_01_MHZ,254.0,1977-02-07 21:00:27.018868,1977-02-07 21:00:57.207547,0.94,XA,15,flat mode,MHZ,153.64382527986442,82.70370800204532,0.24190215141006263
XA_S15_01_MHZ,1.36,1977-02-14 02:12:18.113208,1977-02-14 02:12:48.301887,0.9,XA,15,flat mode,MHZ,92.8238985815922,75.25920647761028,0.1250113735144228
XA_S15_01_MHZ,28.0,1977-03-07 16:41:00.981132,1977-03-07 16:41:31.169811,0.93,XA,15,flat mode,MHZ,73.24840932562311,87.38521968469492,0.057846113403492015
XA_S15_01_MHZ,153.0,1977-03-08 15:07:02.188679,1977-03-08 15:07:32.377358,0.94,XA,15,flat mode,MHZ,72.97544128874134,74.93993238388849,0.060470002746257745
XA_S15_01_MHZ,115.0,1977-03-09 18:11:01.735849,1977-03-09 18:11:31.924528,0.94,XA,15,flat mode,MHZ,82.43054037962733,68.74696552159068,0.4127095202691184
XA_S15_01_MHZ,9.0,1977-03-12 00:12:08.301887,1977-03-12 00:12:38.490566,0.91,XA,15,flat mode,MHZ,51.932325042158425,89.675089589535,0.3175633045381465
XA_S15_00_MHZ,229.0,1971-08-01 19:14:22.339623,1971-08-01 19:14:52.528302,0.9,XA,15,peaked mode,MHZ,157.5630794763557,21.02117980009367,0.4247175678771948
XA_S15_00_MHZ,131.0,1971-08-02 16:53:12.754717,1971-08-02 16:53:32.830189,0.93,XA,15,peaked mode,MHZ,58.66129467087214,33.403230551072575,0.5829747526961601
XA_S15_00_MHZ,129.0,1971-08-02 17:29:53.811321,1971-08-02 17:30:13.886793,0.94,XA,15,peaked mode,MHZ,44.18843350189066,9.600835749270907,0.03444856880533657
XA_S15_00_MHZ,129.0,1971-08-02 17:34:20.830189,1971-08-02 17:34:40.905661,0.94,XA,15,peaked mode,MHZ,35.405810097966146,10.43523343552448,0.060480464787319436
XA_S15_00_MHZ,132.0,1971-08-02 17:39:03.094340,1971-08-02 17:39:23.169812,0.94,XA,15,peaked mode,MHZ,41.070832394087226,9.640882472960731,0.02686547473072159
XA_S15_00_MHZ,132.0,1971-08-02 17:42:36.679245,1971-08-02 17:43:06.867924,0.94,XA,15,peaked mode,MHZ,41.51990450954764,9.390517851441599,0.02846727101541781
XA_S15_00_MHZ,131.0,1971-08-03 05:28:35.169811,1971-08-03 05:28:55.245283,0.94,XA,15,peaked mode,MHZ,35.01603171552001,12.123827664946269,0.06764920289063402
XA_S15_00_MHZ,130.0,1971-08-03 15:34:17.358491,1971-08-03 15:34:37.433963,0.94,XA,15,peaked mode,MHZ,47.234413218061626,11.105441657392346,0.05135566970659796
XA_S15_00_MHZ,129.0,1971-08-04 10:55:01.735849,1971-08-04 10:55:21.811321,0.94,XA,15,peaked mode,MHZ,44.58792970944815,9.599717542578752,0.03203193677173304
XA_S15_00_MHZ,129.0,1971-08-05 05:53:31.018868,1971-08-05 05:53:51.094340,0.94,XA,15,peaked mode,MHZ,43.456751541013936,10.249003778260258,0.031749426773662166
XA_S15_00_MHZ,69.0,1971-08-05 08:31:55.471698,1971-08-05 08:32:25.660377,0.93,XA,15,peaked mode,MHZ,133.5649391758152,1.7698945539520663,0.025366731366519225
XA_S15_00_MHZ,128.0,1971-08-05 10:13:01.283019,1971-08-05 10:13:21.358491,0.94,XA,15,peaked mode,MHZ,45.29175741221867,9.926597312070642,0.02717080552883754
XA_S15_00_MHZ,124.0,1971-08-05 10:16:00.905660,1971-08-05 10:16:20.981132,0.94,XA,15,peaked mode,MHZ,44.44028256586782,9.723480584872515,0.044422022151355274
XA_S15_00_MHZ,130.0,1971-08-05 10:19:00.679245,1971-08-05 10:19:30.867924,0.94,XA,15,peaked mode,MHZ,42.13653907270186,9.994571624791185,0.03490833781952729
XA_S15_00_MHZ,129.0,1971-08-05 10:22:00.754717,1971-08-05 10:22:30.943396,0.93,XA,15,peaked mode,MHZ,42.77833318545859,10.210111531829305,0.028600881733158497
XA_S15_00_MHZ,232.0,1971-08-05 11:33:00.981132,1971-08-05 11:33:31.169811,0.94,XA,15,peaked mode,MHZ,133.40222250527813,17.65951248898923,0.06337072749851455
XA_S15_00_MHZ,126.0,1971-08-06 05:23:39.924528,1971-08-06 05:24:00.000000,0.94,XA,15,peaked mode,MHZ,45.37840126083791,9.850120224834658,0.03533617245641484
XA_S15_00_MHZ,127.0,1971-08-06 07:43:55.169811,1971-08-06 07:44:15.245283,0.94,XA,15,peaked mode,MHZ,45.879488536678245,10.637702769222944,0.045603502153606916
XA_S15_00_MHZ,125.0,1971-08-06 08:04:00.301887,1971-08-06 08:04:30.490566,0.94,XA,15,peaked mode,MHZ,44.276055232528776,10.351803044489746,0.03344701516442657
XA_S15_00_MHZ,125.0,1971-08-07 05:02:50.415094,1971-08-07 05:03:20.603773,0.94,XA,15,peaked mode,MHZ,45.715081410908496,10.465224669204543,0.037759093339812644
XA_S15_00_MHZ,124.0,1971-08-08 02:58:58.566038,1971-08-08 02:59:28.754717,0.94,XA,15,peaked mode,MHZ,44.245637880244004,10.458399956143085,0.12375385881350233
XA_S15_00_MHZ,124.0,1971-08-09 00:42:13.433962,1971-08-09 00:42:43.622641,0.93,XA,15,peaked mode,MHZ,86.19503491944775,21.802484150518865,0.5367504519910622
XA_S15_00_MHZ,122.0,1971-08-09 22:40:22.641509,1971-08-09 22:40:52.830188,0.93,XA,15,peaked mode,MHZ,19.473622107462713,11.933742705133708,0.07094132068496499
XA_S15_00_MHZ,123.0,1971-08-10 23:08:23.094340,1971-08-10 23:08:53.283019,0.93,XA,15,peaked mode,MHZ,170.1898564637946,12.441185909329265,0.24176922148475063
XA_S15_00_MHZ,126.0,1971-08-11 21:13:46.867925,1971-08-11 21:14:17.056604,0.93,XA,15,peaked mode,MHZ,41.74630775375501,10.037467893971503,0.03730938602994635
XA_S15_00_MHZ,128.0,1971-08-12 18:41:41.584906,1971-08-12 18:42:11.773585,0.94,XA,15,peaked mode,MHZ,38.55207488422024,10.903845135577496,0.06520080404557917
XA_S15_00_MHZ,129.0,1971-08-13 17:10:15.547170,1971-08-13 17:10:45.735849,0.93,XA,15,peaked mode,MHZ,45.42488475371397,10.79875705219627,0.0452205615481003
XA_S15_00_MHZ,128.0,1971-08-14 16:10:34.415094,1971-08-14 16:11:04.603773,0.94,XA,15,peaked mode,MHZ,43.64207851346059,9.750688486452486,0.04479940834002745
XA_S15_00_MHZ,131.0,1971-08-15 14:06:40.301887,1971-08-15 14:07:10.490566,0.94,XA,15,peaked mode,MHZ,44.40773564142506,9.789854746368784,0.021992663355956836
