Trace ID,Amplitude Range,Start time,End time,Similarity,Network,Station,Mode,Component,Azimuth,Incidence,Ellipticity
XA_S15_01_MHZ,131.0,1975-09-15 13:52:34.264151,1975-09-15 13:52:59.471698,0.98,XA,15,flat mode,MHZ,106.33868123875101,79.55160535559834,0.10371663503233527
XA_S15_01_MHZ,364.0,1975-09-17 14:33:42.490566,1975-09-17 14:34:07.698113,0.98,XA,15,flat mode,MHZ,61.71630554805008,41.62086811205653,0.09223838650896532
XA_S15_01_MHZ,13.0,1975-09-27 18:33:00.226415,1975-09-27 18:33:30.415094,0.91,XA,15,flat mode,MHZ,52.01007575642171,89.5072198671398,0.2695197688443772
XA_S15_01_MHZ,158.0,1975-09-28 14:24:11.622642,1975-09-28 14:24:36.830189,0.97,XA,15,flat mode,MHZ,149.10122723608737,75.14238362507427,0.056475937909790316
XA_S15_01_MHZ,583.0,1975-10-01 14:19:02.792453,1975-10-01 14:19:32.981132,0.92,XA,15,flat mode,MHZ,41.454831118976344,28.272080667235013,0.1991161642504515
XA_S15_01_MHZ,13.0,1975-10-13 06:11:03.245283,1975-10-13 06:11:33.433962,0.91,XA,15,flat mode,MHZ,59.94002784290554,89.55979792352527,0.22511656931850543
XA_S15_01_MHZ,140.0,1975-10-13 14:35:27.094340,1975-10-13 14:35:52.301887,0.97,XA,15,flat mode,MHZ,134.49847473411577,87.59608987999204,0.11470333010653487
XA_S15_01_MHZ,111.0,1975-10-14 23:19:24.981132,1975-10-14 23:19:45.207547,0.92,XA,15,flat mode,MHZ,71.84089241121666,85.33322013170198,0.10878231254526269
XA_S15_01_MHZ,12.0,1975-10-16 09:26:57.358491,1975-10-16 09:27:27.547170,0.91,XA,15,flat mode,MHZ,72.12400126378353,89.63956803557579,0.20348710030711809
XA_S15_01_MHZ,17.0,1975-10-16 16:20:53.283019,1975-10-16 16:21:23.471698,0.91,XA,15,flat mode,MHZ,58.7403667191147,89.57028468396454,0.26840663987432906
XA_S15_01_MHZ,429.0,1975-10-18 01:19:26.188679,1975-10-18 01:19:51.396226,0.98,XA,15,flat mode,MHZ,54.31445509650501,44.478770438206666,0.0925853810245483
XA_S15_01_MHZ,138.0,1975-10-25 19:11:15.320755,1975-10-25 19:11:45.509434,0.97,XA,15,flat mode,MHZ,19.664372802544214,80.57057078930218,0.22910871022010182
XA_S15_01_MHZ,131.0,1975-10-26 15:27:33.433962,1975-10-26 15:27:58.641509,0.98,XA,15,flat mode,MHZ,33.14600405353002,85.03228242298343,0.25296516481857356
XA_S15_01_MHZ,17.0,1975-10-26 22:17:32.075472,1975-10-26 22:18:02.264151,0.92,XA,15,flat mode,MHZ,57.79916500813216,89.71768331771669,0.26788257219917716
XA_S15_01_MHZ,23.0,1975-11-11 15:12:20.377358,1975-11-11 15:12:50.566037,0.91,XA,15,flat mode,MHZ,47.19718969658448,89.56040367204123,0.5784462755950182
XA_S15_01_MHZ,154.0,1975-11-12 15:20:33.509434,1975-11-12 15:20:58.716981,0.92,XA,15,flat mode,MHZ,177.94987695110987,86.3570328561575,0.20076348533822536
XA_S15_01_MHZ,13.0,1975-11-16 14:45:54.716981,1975-11-16 14:46:24.905660,0.92,XA,15,flat mode,MHZ,64.12109030846953,89.68977280772098,0.46120136636827813
XA_S15_01_MHZ,187.0,1975-11-21 14:40:09.056604,1975-11-21 14:40:29.283019,0.91,XA,15,flat mode,MHZ,73.36639243063688,65.27580764663202,0.41264491538991493
XA_S15_01_MHZ,156.0,1975-11-24 07:54:59.622642,1975-11-24 07:55:24.830189,0.97,XA,15,flat mode,MHZ,142.04158528529354,68.77064505736054,0.1772455595322294
XA_S15_01_MHZ,174.0,1975-11-24 16:06:34.415094,1975-11-24 16:06:59.622641,0.91,XA,15,flat mode,MHZ,35.243685348085,57.94670416559605,0.4826124460104055
XA_S15_01_MHZ,7.0,1975-11-25 05:34:04.981132,1975-11-25 05:34:35.169811,0.9,XA,15,flat mode,MHZ,65.18410056038546,89.7913817215353,0.3431823052009516
XA_S15_01_MHZ,153.0,1975-11-25 14:50:57.207547,1975-11-25 14:51:22.415094,0.98,XA,15,flat mode,MHZ,137.1822638752181,83.27666040597906,0.2014906628594831
XA_S15_01_MHZ,354.0,1975-11-26 15:08:01.207547,1975-11-26 15:08:26.415094,0.91,XA,15,flat mode,MHZ,155.8596772097935,43.85093401197622,0.2246816729596193
XA_S15_01_MHZ,332.0,1975-12-13 01:54:20.679245,1975-12-13 01:54:45.886792,0.91,XA,15,flat mode,MHZ,88.84678572399446,53.868808201075495,0.20246402966967603
