Trace ID,Amplitude Range,Start time,End time,Similarity,Network,Station,Mode,Component,Azimuth,Incidence,Ellipticity
XA_S16_01_MHZ,48.0,1975-06-30 01:19:59.849057,1975-06-30 01:20:30.037736,0.9,XA,16,flat mode,MHZ,23.622218981086046,88.92580338641308,0.2993440541387074
XA_S16_01_MHZ,216.0,1975-06-30 02:43:16.377358,1975-06-30 02:43:36.452830,0.94,XA,16,flat mode,MHZ,98.46807798366609,82.81722546733799,0.27502721881291364
XA_S16_01_MHZ,322.0,1975-06-30 10:47:54.716981,1975-06-30 10:48:24.905660,0.93,XA,16,flat mode,MHZ,143.2072968331721,67.75995792261162,0.22417200812946694
XA_S16_01_MHZ,119.0,1975-06-30 12:41:47.773585,1975-06-30 12:42:17.962264,0.94,XA,16,flat mode,MHZ,50.96554954406592,69.13812850810939,0.11288906847586347
XA_S16_01_MHZ,37.0,1975-07-15 15:30:59.169811,1975-07-15 15:31:29.358490,0.9,XA,16,flat mode,MHZ,17.039340746573757,88.6848691906741,0.0749924910535363
XA_S16_01_MHZ,41.0,1975-07-16 17:18:21.886792,1975-07-16 17:18:52.075471,0.91,XA,16,flat mode,MHZ,17.91536977649796,89.28321685431189,0.289910925053125
XA_S16_01_MHZ,36.0,1975-07-18 02:02:11.471698,1975-07-18 02:02:41.660377,0.9,XA,16,flat mode,MHZ,26.12716389882403,88.88995246551939,0.10564250889860172
XA_S16_01_MHZ,65.0,1975-07-28 00:51:39.320755,1975-07-28 00:51:59.396227,0.94,XA,16,flat mode,MHZ,10.556692029634283,87.78402053027567,0.14854570918801385
XA_S16_01_MHZ,599.0,1975-07-28 09:57:41.433962,1975-07-28 09:58:11.622641,0.93,XA,16,flat mode,MHZ,20.776472334552224,64.99962292396452,0.3250159414213539
XA_S16_01_MHZ,297.0,1975-07-29 13:49:06.415094,1975-07-29 13:49:26.490566,0.94,XA,16,flat mode,MHZ,96.12233900760434,82.3872490141943,0.2467602592229705
XA_S16_01_MHZ,28.0,1975-08-15 02:25:16.377358,1975-08-15 02:25:46.566037,0.9,XA,16,flat mode,MHZ,100.89510677869211,88.9203041302196,0.1827368086427264
XA_S16_01_MHZ,10.0,1975-08-28 01:28:26.867925,1975-08-28 01:28:57.056604,0.91,XA,16,flat mode,MHZ,36.62441480307019,89.73090308737999,0.21749019288563542
XA_S16_01_MHZ,494.0,1975-08-28 01:45:14.264151,1975-08-28 01:45:44.452830,0.95,XA,16,flat mode,MHZ,15.15795735768487,38.684733237043105,0.36587853278315036
XA_S16_01_MHZ,32.0,1975-09-01 16:13:25.132075,1975-09-01 16:13:55.320754,0.9,XA,16,flat mode,MHZ,22.073871443736213,88.79170445447534,0.18694824304628102
XA_S16_01_MHZ,45.0,1975-09-13 08:59:52.301887,1975-09-13 09:00:22.490566,0.92,XA,16,flat mode,MHZ,42.07610571488853,88.80305378260333,0.3868187997919513
XA_S16_01_MHZ,39.0,1975-09-14 21:50:07.396226,1975-09-14 21:50:37.584905,0.91,XA,16,flat mode,MHZ,19.47033663257267,88.87484830745234,0.01704694752884862
XA_S16_01_MHZ,56.0,1975-09-25 05:49:31.471698,1975-09-25 05:50:01.660377,0.9,XA,16,flat mode,MHZ,44.23994055401722,88.81043765371419,0.7556182698062004
XA_S16_01_MHZ,586.0,1975-09-25 10:54:46.037736,1975-09-25 10:55:16.226415,0.93,XA,16,flat mode,MHZ,45.96932918254015,35.887920079972226,0.4099227162870361
XA_S16_01_MHZ,590.0,1975-09-25 20:43:23.320755,1975-09-25 20:43:43.396227,0.94,XA,16,flat mode,MHZ,27.170502832512856,75.27531986317514,0.2443630324268643
XA_S16_01_MHZ,301.0,1975-09-26 13:59:46.113208,1975-09-26 14:00:16.301887,0.94,XA,16,flat mode,MHZ,37.620421083612335,81.50441061001014,0.2502548293703325
XA_S16_01_MHZ,46.0,1975-09-26 15:42:10.264151,1975-09-26 15:42:40.452830,0.91,XA,16,flat mode,MHZ,41.247111670135304,88.70126566057843,0.40392291446978074
XA_S16_01_MHZ,17.0,1975-10-24 04:19:14.566038,1975-10-24 04:19:44.754717,0.91,XA,16,flat mode,MHZ,23.520258053818527,89.49950760449335,0.07784809266561697
XA_S16_01_MHZ,584.0,1975-10-25 00:01:14.716981,1975-10-25 00:01:44.905660,0.92,XA,16,flat mode,MHZ,52.317602247687816,64.36049721233991,0.2417039016919319
XA_S16_01_MHZ,558.0,1975-10-26 02:53:54.415094,1975-10-26 02:54:24.603773,0.95,XA,16,flat mode,MHZ,15.738982439829972,51.90969177750989,0.29599097674745234
XA_S16_01_MHZ,178.0,1975-10-26 14:56:11.018868,1975-10-26 14:56:31.094340,0.93,XA,16,flat mode,MHZ,56.45107500483651,62.76855757527532,0.07127395917780177
XA_S16_01_MHZ,36.0,1975-11-10 01:48:21.584906,1975-11-10 01:48:51.773585,0.91,XA,16,flat mode,MHZ,31.95880772015155,89.08815162223324,0.4094756695615225
XA_S16_01_MHZ,46.0,1975-11-16 01:39:13.660377,1975-11-16 01:39:43.849056,0.9,XA,16,flat mode,MHZ,26.968914912890664,88.55792799622901,0.1362901854156864
XA_S16_01_MHZ,550.0,1975-11-24 15:49:11.698113,1975-11-24 15:49:31.773585,0.94,XA,16,flat mode,MHZ,20.927326773133448,80.37423696973703,0.1649062883410329
