Trace ID,Amplitude Range,Start time,End time,Similarity,Network,Station,Mode,Component,Azimuth,Incidence,Ellipticity
XA_S14_00_MHZ,127.0,1971-02-06 13:46:51.622642,1971-02-06 13:47:16.830189,0.96,XA,14,peaked mode,MHZ,64.30245175783323,3.714755351199231,0.08956963862523841
XA_S14_00_MHZ,83.0,1971-02-06 13:56:38.943396,1971-02-06 13:57:04.150943,0.92,XA,14,peaked mode,MHZ,116.04522786812524,12.918280852294568,0.23699403533475213
XA_S14_00_MHZ,94.0,1971-02-06 14:07:41.283019,1971-02-06 14:08:06.490566,0.94,XA,14,peaked mode,MHZ,103.76516419608026,7.479695475620166,0.13937088373518777
XA_S14_00_MHZ,191.0,1971-02-06 14:47:03.547170,1971-02-06 14:47:28.754717,0.97,XA,14,peaked mode,MHZ,145.92475360606974,4.041340061858874,0.07836371792944553
XA_S14_00_MHZ,108.0,1971-02-06 15:05:30.415094,1971-02-06 15:05:55.622641,0.95,XA,14,peaked mode,MHZ,76.91511866672431,6.2600497523145195,0.13508982189563828
XA_S14_00_MHZ,59.0,1971-02-06 15:10:50.716981,1971-02-06 15:11:15.924528,0.93,XA,14,peaked mode,MHZ,59.240372801229384,8.875668409037399,0.19959030614066076
XA_S14_00_MHZ,44.0,1971-02-06 15:14:18.264151,1971-02-06 15:14:43.471698,0.94,XA,14,peaked mode,MHZ,71.5244160501237,8.431070298544954,0.19550114015737596
XA_S14_00_MHZ,112.0,1971-02-06 15:28:58.566038,1971-02-06 15:29:23.773585,0.96,XA,14,peaked mode,MHZ,99.88539881502639,3.6386778047579917,0.08440209813209264
XA_S14_00_MHZ,58.0,1971-02-06 15:34:34.566038,1971-02-06 15:34:59.773585,0.95,XA,14,peaked mode,MHZ,122.33542887737327,6.860009666571661,0.1512648604376633
XA_S14_00_MHZ,55.0,1971-02-06 15:41:25.433962,1971-02-06 15:41:50.641509,0.93,XA,14,peaked mode,MHZ,95.93827315513445,8.925485918658346,0.1718247989011545
XA_S14_00_MHZ,49.0,1971-02-06 15:52:20.830189,1971-02-06 15:52:51.018868,0.91,XA,14,peaked mode,MHZ,119.27221008231041,10.78609506061679,0.23571996130266384
XA_S14_00_MHZ,114.0,1971-02-06 15:55:52.603774,1971-02-06 15:56:22.792453,0.94,XA,14,peaked mode,MHZ,95.63380654695972,3.67124625884344,0.0683980354772524
XA_S14_00_MHZ,51.0,1971-02-06 16:10:23.547170,1971-02-06 16:10:48.754717,0.94,XA,14,peaked mode,MHZ,79.88813604803873,7.0935716625933765,0.1546386782260999
XA_S14_00_MHZ,49.0,1971-02-06 16:24:03.320755,1971-02-06 16:24:28.528302,0.97,XA,14,peaked mode,MHZ,87.61479451647715,3.843223280804543,0.08956580577129977
XA_S14_00_MHZ,161.0,1971-02-06 18:59:15.320755,1971-02-06 18:59:45.509434,0.95,XA,14,peaked mode,MHZ,67.54691389730793,2.4949704768971266,0.051059131923570956
XA_S14_00_MHZ,155.0,1971-02-06 22:29:21.962264,1971-02-06 22:29:52.150943,0.96,XA,14,peaked mode,MHZ,69.98280355919775,3.5164747456386527,0.08420991103246424
XA_S14_00_MHZ,15.0,1971-02-07 13:29:04.000000,1971-02-07 13:29:29.207547,0.98,XA,14,peaked mode,MHZ,52.30829142690922,63.31901762454457,0.34190452198057975
XA_S14_00_MHZ,15.0,1971-02-07 17:24:05.283019,1971-02-07 17:24:30.490566,0.97,XA,14,peaked mode,MHZ,50.84011763258156,74.9740578169091,0.45107418773309926
XA_S14_00_MHZ,15.0,1971-02-07 21:41:46.566038,1971-02-07 21:42:11.773585,0.97,XA,14,peaked mode,MHZ,45.263975726269635,58.75352533910637,0.1851279448041453
XA_S14_00_MHZ,15.0,1971-02-09 08:03:47.471698,1971-02-09 08:04:12.679245,0.98,XA,14,peaked mode,MHZ,44.48586600547688,55.187335592037904,0.20084461783822774
XA_S14_00_MHZ,14.0,1971-02-10 18:25:20.000000,1971-02-10 18:25:45.207547,0.91,XA,14,peaked mode,MHZ,48.62751808732869,63.218759215909515,0.2679588410389346
XA_S14_00_MHZ,13.0,1971-02-11 02:20:15.094340,1971-02-11 02:20:45.283019,0.91,XA,14,peaked mode,MHZ,49.05155721449789,60.51130137025127,0.254834863633045
XA_S14_00_MHZ,14.0,1971-02-11 05:43:00.528302,1971-02-11 05:43:30.716981,0.91,XA,14,peaked mode,MHZ,45.7464861904378,60.261218603880145,0.13248202274338533
XA_S14_00_MHZ,8.0,1971-02-11 18:37:14.113208,1971-02-11 18:37:44.301887,0.92,XA,14,peaked mode,MHZ,58.11905456456726,71.13720455320885,0.37838576068017704
