date,command,MAP,date_error,data_error,tape,file,phy_record,log_record,station
1969-12-20T23:42:18.703000Z,4,1,-,-,1,32,207,68,12
1969-12-21T00:34:27.976000Z,4,1,-,-,1,32,227,49,12
1969-12-21T23:15:03.373000Z,4,1,-,-,1,33,198,17,12
1969-12-23T01:45:18.195000Z,4,1,-,-,1,34,253,50,12
1969-12-23T01:57:13.050000Z,4,1,-,-,1,34,257,54,12
1969-12-23T14:33:57.836000Z,4,0,-,-,1,35,5,22,12
1969-12-23T23:23:18.195000Z,4,1,-,-,1,35,201,58,12
1969-12-23T23:47:28.439000Z,4,1,-,-,1,35,210,30,12
1969-12-25T01:00:58.166000Z,4,1,-,-,1,36,237,34,12
1969-12-25T01:01:18.090000Z,4,1,-,-,1,36,237,67,12
1969-12-25T01:57:18.639000Z,4,0,-,-,1,36,257,33,12
1969-12-26T15:03:57.774000Z,4,1,-,-,1,38,16,58,12
1969-12-26T15:06:58.300000Z,4,1,-,-,1,38,18,17,12
1969-12-27T11:10:17.757000Z,4,1,-,-,1,38,461,51,12
1969-12-27T11:27:33.214000Z,4,1,-,-,1,38,468,76,12
1969-12-28T09:18:32.830000Z,4,1,-,-,1,39,420,77,12
1969-12-28T09:39:12.955000Z,4,1,-,-,1,39,428,71,12
1969-12-29T05:54:57.880000Z,4,1,-,-,1,40,345,72,12
1969-12-29T08:33:12.662000Z,4,1,-,-,1,40,403,0,12
1969-12-30T05:22:22.985000Z,4,1,-,-,1,41,333,60,12
1969-12-30T05:33:48.253000Z,4,1,-,-,1,41,337,15,12
1969-12-31T01:41:23.402000Z,4,1,-,-,1,42,252,70,12
1969-12-31T01:53:53.268000Z,4,1,-,-,1,42,256,31,12
1970-01-01T00:32:28.374000Z,4,1,-,-,1,43,226,70,12
1970-01-01T00:33:23.314000Z,4,1,-,-,1,43,226,61,12
1970-01-01T01:44:03.824000Z,4,0,*,*,1,70,23,54,12
1970-01-02T02:00:42.457000Z,4,0,-,-,1,44,258,89,12
1970-01-02T03:25:03.097000Z,4,1,-,-,1,44,289,93,12
1970-01-02T03:32:15.984000Z,4,1,-,-,1,44,292,0,12
1970-01-02T21:06:33.125000Z,4,1,-,-,1,45,146,66,12
1970-01-02T21:17:33.022000Z,4,1,-,-,1,45,151,9,12
1970-01-03T15:44:53.134000Z,4,1,-,-,1,46,31,46,12
1970-01-03T16:05:27.800000Z,4,1,-,-,1,46,39,62,12
1970-01-04T13:21:53.294000Z,4,1,-,-,1,46,510,19,12
1970-01-04T13:51:02.352000Z,4,1,-,-,1,46,521,46,12
1970-01-04T14:43:14.071000Z,4,0,*,*,1,70,17,71,12
1970-01-05T04:25:51.027000Z,4,0,-,-,1,47,313,36,12
1970-01-11T20:33:07.597000Z,4,0,-,-,1,54,138,43,12
1970-01-16T17:27:37.564000Z,4,0,-,-,1,59,69,57,12
1970-01-17T21:02:22.814000Z,4,1,-,-,1,60,149,36,12
1970-01-17T21:25:33.249000Z,4,1,-,-,1,60,158,9,12
1970-01-18T17:41:56.998000Z,4,1,-,-,1,61,73,56,12
1970-01-19T12:51:36.712000Z,4,1,-,-,1,61,496,61,12
1970-01-19T13:07:09.784000Z,4,1,-,-,1,61,501,19,12
1970-01-20T18:43:48.907000Z,4,0,-,-,1,63,49,64,12
1970-01-28T02:56:53.983000Z,4,0,-,-,1,72,280,5,12
1970-01-28T08:44:38.762000Z,4,0,-,-,1,72,408,48,12
1970-01-31T19:47:17.853000Z,4,1,-,-,1,76,122,51,12
1970-01-31T19:48:03.134000Z,4,1,-,-,1,76,122,26,12
1970-02-01T15:18:12.447000Z,4,1,-,-,1,77,22,43,12
